class,subclass,supertype,cluster,Tac2,Pcdh10,Tac1,Chat,Cartpt,Chrna3,Kcna1,Kcna2,Kcna3,Kcna4,Kcna5,Kcna6,Oprm1,Sst,Tacr1
17 MH-LH Glut,145 MH Tac2 Glut,0632 MH Tac2 Glut_1,2578 MH Tac2 Glut_1,3.1949843356483862,1.157583843577992,0.11021311659561961,6.993269862170425,0.1281472438830508,8.797495765549144,0.07915092084966778,9.170716015345743,0.0,0.3743554975427509,0.01175194037588019,0.32540496114338413,0.2871703462737599,0.027727804685893812,6.053968722740429
17 MH-LH Glut,145 MH Tac2 Glut,0632 MH Tac2 Glut_1,2579 MH Tac2 Glut_1,7.011492395215461,0.5945174406474666,0.11691170814900083,6.162086683488542,0.09990867659275633,8.275699706392993,0.11357816740696532,8.946784624329801,0.019072974238414246,0.3558792325773128,0.0,0.3932485765984086,0.2249418139921552,0.1371384724568764,6.674045751994686
17 MH-LH Glut,145 MH Tac2 Glut,0632 MH Tac2 Glut_1,2580 MH Tac2 Glut_1,8.399485156053613,0.3553187788592669,0.06452504988952172,7.071178102372159,0.23930729414627372,9.005780364576786,0.07214828227961295,9.060912007502234,0.004118122759761697,0.1815775464289679,0.009546755936870526,0.1839148491545313,0.33298505230741315,0.03499887435745123,6.436819916352895
17 MH-LH Glut,145 MH Tac2 Glut,0632 MH Tac2 Glut_1,2581 MH Tac2 Glut_1,6.014398425053328,1.0658180693275907,0.09285099282223955,6.976545765868619,0.9133958042177379,9.110160290685474,0.0675448474721012,9.121639994474558,0.0,0.2672844809344691,0.010316777433085645,0.6560315352219802,0.4026604992711646,0.05061418276566725,4.829890421313098
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,2582 MH Tac2 Glut_2,4.146463170463656,2.966086564240632,1.4349160783084822,0.20547945705460913,0.8432943026224772,0.21322431093380775,0.28047828321103696,6.9305533774105115,0.06889499263998902,1.867193963792589,0.0,0.6683466934863432,3.4659078032882125,0.0,5.45611517517655
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,2583 MH Tac2 Glut_2,8.195403265529835,0.27549913366870765,5.39818634930447,0.02275599671538765,2.688265468947281,5.861043549148289,0.09003103837459045,4.247661321120854,0.0841716182302441,0.8688290796336338,0.020212571296466173,0.378946177352815,10.208064368490637,0.10228781164045164,4.49914677608648
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,2584 MH Tac2 Glut_2,6.417085196993766,0.44880500845952864,2.223395491958758,0.0,2.0462864298339283,4.3626620397655245,0.0,2.6767021100455466,0.04499057017335104,1.6446030118049833,0.0,1.0474471127221343,9.934476288086778,0.04499057017335104,0.19973488466455303
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,2585 MH Tac2 Glut_2,9.507042944708536,0.3549872553625772,6.907260338095732,0.0,2.0589845590813214,4.710498171074446,0.25185132137564725,4.509603600169337,0.0,2.2402058246523837,0.03171176688615666,1.0133410387260968,9.24338555225106,0.024738888407862463,1.3578399680381597
17 MH-LH Glut,145 MH Tac2 Glut,0633 MH Tac2 Glut_2,2586 MH Tac2 Glut_2,9.087326865726046,1.1173038341380932,7.724081763514766,0.050518148916739,1.4754491488138834,2.317809648867007,0.03892178712067781,5.15194203765304,0.0,2.804860316382514,0.0,0.15568195978800456,6.1599243411311395,0.0,1.6766030064335575
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2587 MH Tac2 Glut_3,7.953914889360455,0.3835422698436516,0.7273819368492146,5.035942485610744,0.6243382605257203,8.316370078838743,0.12101352164767351,7.444390297736769,0.04599650460666813,0.5587003409211921,0.004208386995329965,0.3694974489316132,6.987010739211972,0.06924586612371514,7.640492103762431
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2588 MH Tac2 Glut_3,8.435976152834685,0.28876163441201913,0.14009556563004202,6.534724946643995,0.6349398923956829,8.669994063999342,0.16103967998338783,7.963305628818015,0.0,0.621047596309496,0.0,0.559326173948205,4.6266636019167695,0.043262241197668985,7.734984897530597
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2589 MH Tac2 Glut_3,8.11502142060072,0.32311087353785234,0.26634489145494045,6.006888451432824,0.1806407001681794,8.394373409730152,0.05508681078602497,8.606773327167769,0.020826051109715513,0.4941016847925975,0.0,0.2107398787835487,0.49671536908113867,0.08339633529347584,7.381950933234136
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2590 MH Tac2 Glut_3,8.066916338350406,0.18526691292959546,0.1877278070601206,4.66585377852122,2.284370285493356,8.18148233524706,0.05140191032772973,6.368133399852369,0.08535287682972258,0.36213378616110986,0.0,0.2923863274710519,9.019309947730372,0.08005800638249312,6.7757938482143265
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2591 MH Tac2 Glut_3,5.056255332136576,0.3005912641508389,3.526870050261506,1.0303820456023765,1.726955978216323,7.856140031223804,0.0,5.552671284802192,0.0350339201699316,0.2523352340259383,0.0,0.34458655699164464,9.942703859995952,0.11399552990904951,6.930348836215196
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2592 MH Tac2 Glut_3,3.244127968343435,0.31178534456099355,3.3734724247628822,0.7888397351596284,3.158358364155617,7.3482379938526226,0.06379777500147549,4.457394390156593,0.07457435587753236,0.17767586323827544,0.0,0.3197414153790694,9.944539768692682,0.09959428061582296,5.223791609982046
17 MH-LH Glut,145 MH Tac2 Glut,0634 MH Tac2 Glut_3,2593 MH Tac2 Glut_3,8.640588684174396,0.32777299950255606,0.07954378566788126,6.075016082920693,1.1813687689367853,8.823367601445455,0.05734070623180768,8.29347803517635,0.07140144943902337,0.4394644721079681,0.013385675721249338,0.36395892103994154,2.0795997926744363,0.02834548904012537,6.120134914758419
17 MH-LH Glut,145 MH Tac2 Glut,0635 MH Tac2 Glut_4,2594 MH Tac2 Glut_4,1.1125078087761289,4.754643485659645,0.0,1.9273790745508104,6.330439306440807,6.587362255368914,0.0,7.024862459727696,0.1354490121205648,0.2748744941893078,0.0,3.480742647534325,1.834409861337571,2.075464680081322,0.5252058392479306
17 MH-LH Glut,145 MH Tac2 Glut,0635 MH Tac2 Glut_4,2595 MH Tac2 Glut_4,4.947880421044691,0.735614466217329,0.07277785157257656,4.4740533468858255,5.323167504004712,8.320367484722498,0.0,7.724562172619802,0.0,0.3882250335981261,0.0,1.8815008649286233,5.013894944820764,0.3814395328737655,2.63520041501747
17 MH-LH Glut,145 MH Tac2 Glut,0636 MH Tac2 Glut_5,2596 MH Tac2 Glut_5,0.3337680000856698,1.682133594191218,1.3311663822955395,0.0,2.5410863003098823,0.1926797786390925,0.0,3.42400650231235,0.05873621515480869,1.3235177763973374,0.0,0.7165328623300575,7.679871518927884,4.666787704789495,6.4069054040564115
17 MH-LH Glut,145 MH Tac2 Glut,0636 MH Tac2 Glut_5,2597 MH Tac2 Glut_5,0.24130601508944644,0.3636920311871697,0.7894315065122118,0.0,8.772780904582902,0.3894616575802074,0.0,3.8361573499791763,0.0,1.1416020860858993,0.0,0.402860398386039,1.8750406059564328,1.0600397914063697,5.797070456486122
17 MH-LH Glut,145 MH Tac2 Glut,0636 MH Tac2 Glut_5,2598 MH Tac2 Glut_5,0.23462243536685376,0.5048503850368743,0.4552093186277024,0.08201332041557799,8.205848929729868,0.14316310273840072,0.041815450850953444,2.39746670520052,0.027121947166767527,1.5486180604772364,0.0,1.5940919176061104,7.295345478869499,9.212528429132826,4.018106019243281
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0637 LH Pou4f1 Sox1 Glut_1,2599 LH Pou4f1 Sox1 Glut_1,0.15710430793630892,7.6312769751950915,0.12722374691199928,0.0,0.06476044285523092,0.2931973971105894,1.83358505055334,7.113746904875448,0.06805602162306977,3.0591950334493143,0.7857532353491463,4.555054861173778,5.394527234226825,0.14315206992236348,3.666991716818227
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0637 LH Pou4f1 Sox1 Glut_1,2600 LH Pou4f1 Sox1 Glut_1,0.0,6.8409209637080926,0.05160108033348532,0.0,0.0,0.26860130534452553,0.3384874743573806,5.18963696676142,0.04165145228890812,1.3945093715892118,0.344186873996959,3.1655289145076977,4.158678103895748,1.2186000873060787,2.2778431597877953
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,2601 LH Pou4f1 Sox1 Glut_2,0.1335325510271134,8.945773059321988,0.3326265735010947,0.03933577383718183,0.0,0.12226873828518775,1.4172716640656995,8.1639166262842,0.0824104662864439,1.1046949625015259,0.05108927911327731,4.701825091915746,1.1499977457907893,0.0,1.801276041615394
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,2602 LH Pou4f1 Sox1 Glut_2,0.20435426795417494,9.271817579946882,0.12807729595997294,0.0,0.0684862605860976,0.22190078099568686,1.3970898018508662,7.2915108399313,0.07952425649257305,1.7369160886670723,0.09291514151734732,4.598224861374319,4.231902148554234,0.04360365476764617,3.5195469647808806
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,2603 LH Pou4f1 Sox1 Glut_2,0.23684053965977261,9.149830488477434,0.17201016289847237,0.029566149030412946,0.0,0.21120005471365794,0.6945023700169155,6.313276980263846,0.0240571403503418,1.7028673798697336,0.5069081360953195,4.262837175641741,4.032499416896275,0.05592442921229771,5.298810313088553
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,2604 LH Pou4f1 Sox1 Glut_2,0.0640859603881836,8.537715067346412,0.08669349371668804,0.0,0.0,0.1264894956565765,0.2214630138443177,7.507110371647111,0.22387749890247025,1.5232532742511795,0.0,3.574768629418798,4.152613260659827,0.14343301933932018,0.5209805994148714
17 MH-LH Glut,146 LH Pou4f1 Sox1 Glut,0638 LH Pou4f1 Sox1 Glut_2,2605 LH Pou4f1 Sox1 Glut_2,0.11585223815020393,3.1948248975417193,0.3374936496510225,0.0,0.1521678139181698,0.12089582892025218,2.1613467609181125,8.261810914207908,0.1812637721790987,0.5416097809286678,0.0,5.296735763549805,1.20938299964456,0.10909562391393325,2.5930506706237795
